wrong,right
TSTM WIND/HAIL,THUNDERSTORM WIND
TSTM WINDS,THUNDERSTORM WIND
TSTM WND,THUNDERSTORM WIND
TUNDERSTORM WIND,THUNDERSTORM WIND
Unseasonable Cold,COLD
UNSEASONABLY COLD,COLD
UNSEASONABLY COOL,COLD
UNSEASONABLY COOL & WET,COLD
UNSEASONABLY DRY,DRY CONDITIONS
UNSEASONABLY HOT,HEAT
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM AND DRY,HEAT
UNSEASONABLY WARM & WET,HEAT
UNSEASONABLY WARM/WET,HEAT
UNSEASONABLY WARM YEAR,HEAT
UNSEASONABLY WET,EXCESSIVE WETNESS
UNSEASONAL LOW TEMP,COLD
UNSEASONAL RAIN,RAIN
UNUSUALLY COLD,COLD
UNUSUALLY LATE SNOW,SNOW
UNUSUALLY WARM,HEAT
UNUSUAL/RECORD WARMTH,HEAT
UNUSUAL WARMTH,HEAT
URBAN AND SMALL,FLOOD
URBAN AND SMALL STREAM,FLOOD
URBAN AND SMALL STREAM FLOOD,FLOOD
URBAN AND SMALL STREAM FLOODIN,FLOOD
Urban flood,FLOOD
Urban Flood,FLOOD
URBAN FLOOD,FLOOD
Urban Flooding,FLOOD
URBAN FLOODING,FLOOD
URBAN FLOOD LANDSLIDE,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,FLOOD
URBAN/SMALL,FLOOD
URBAN/SMALL FLOODING,FLOOD
URBAN/SMALL STREAM,FLOOD
URBAN SMALL STREAM FLOOD,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
URBAN/SMALL STREAM  FLOOD,FLOOD
URBAN/SMALL STREAM FLOODING,FLOOD
URBAN/SMALL STRM FLDG,FLOOD
URBAN/SML STREAM FLD,FLOOD
URBAN/SML STREAM FLDG,FLOOD
URBAN/STREET FLOODING,FLOOD
VERY DRY,DRY CONDITIONS
VERY WARM,HEAT
Volcanic Ash,VOLCANIC ASH
VOLCANIC ASHFALL,VOLCANIC ASH
Volcanic Ash Plume,VOLCANIC ASH
WAKE LOW WIND,WIND
WALL CLOUD/FUNNEL CLOUD,WALL CLOUD
WARM DRY CONDITIONS,DRY CONDITIONS
WARM WEATHER,HEAT
WATERSPOUT,WATERSPOUT
 WATERSPOUT,WATERSPOUT
WATER SPOUT,WATERSPOUT
WATERSPOUT-,WATERSPOUT
WATERSPOUT/,WATERSPOUT
WATERSPOUT FUNNEL CLOUD,WATERSPOUT
WATERSPOUTS,WATERSPOUT
WATERSPOUT TORNADO,WATERSPOUT
WATERSPOUT-TORNADO,WATERSPOUT
WATERSPOUT/TORNADO,WATERSPOUT
WATERSPOUT/ TORNADO,WATERSPOUT
WAYTERSPOUT,WATERSPOUT
wet micoburst,WET MICROBURST
Wet Month,EXCESSIVE WETNESS
WET SNOW,SNOW
WET WEATHER,EXCESSIVE WETNESS
Wet Year,EXCESSIVE WETNESS
Whirlwind,WHIRLWIND
WILDFIRES,WILDFIRE
WILD FIRES,WILDFIRE
WILD/FOREST FIRE,WILDFIRE
WILD/FOREST FIRES,WILDFIRE
Wind,WIND
 WIND,WIND
WIND ADVISORY,WIND
WIND AND WAVE,WIND
WIND CHILL,WIND
WIND CHILL/HIGH WIND,WIND
Wind Damage,WIND
WIND DAMAGE,WIND
WIND GUSTS,WIND
WIND/HAIL,WIND
WINDS,WIND
WIND STORM,WIND
WINTER MIX,WIND
WINTER STORM,WINTER STORM
WINTER STORM/HIGH WIND,WINTER STORM
WINTER STORM HIGH WINDS,WINTER STORM
WINTER STORM/HIGH WINDS,WINTER STORM
WINTER STORMS,WINTER STORM
Winter Weather,WINTER WEATHER
WINTER WEATHER MIX,WINTER WEATHER
WINTER WEATHER/MIX,WINTER WEATHER
WINTERY MIX,WINTER WEATHER
Wintry mix,WINTER WEATHER
Wintry Mix,WINTER WEATHER
WINTRY MIX,WINTER WEATHER
WND,WIND
